,text,concept
70,Cross-country skiing-Norway's Krueger tests positive for COVID-19  https://t.co/swHf5Z4RTL  https://t.co/wH1NPXMoiC,"['try', 'testy', 'positive', 'covid', 'cross', 'krueger']"
71,Cross-country skiing-Norway's Krueger tests positive for COVID  https://t.co/DGjfVjOo5x  https://t.co/BpDwEa6o2e,"['try', 'testy', 'positive', 'covid', 'cross', 'krueger']"
72,Greece allows music in bars and restaurants again as COVID-19 cases ease  https://t.co/FIuIY0gasK  https://t.co/GiQyy4vKad,"['music', 'covid', 'ease', 'restaurant']"
73,China's Walvax says has most participants for large mRNA COVID-19 vaccine trial  https://t.co/fqUt1x6spr  https://t.co/pmly81G8Iy,"['participant', 'large', 'covid', 'vaccine', 'trial', 'says', 'mrna']"
74,Moderna begins trial of Omicron-specific vaccine booster  https://t.co/WzY5zv0Wwv,"['beg', 'trial', 'omicron', 'specific', 'vaccine', 'booster', 'moderna']"
75,Canadian PM Trudeau to isolate after COVID exposure  https://t.co/JJDL6PtyWo,"['trudeau', 'isolate', 'covid', 'exposure', 'after']"
76,"Omicron subvariant BA.2 appears more contagious, but not more severe, Denmark says  https://t.co/Xrbjnt0oFh","['omicron', 'appear', 'contagious', 'severe', 'more']"
77,Lifting travel ban would be 'catastrophic' for China: Covid-19 expert  https://t.co/wwU1KXR17T  https://t.co/15I1CNyjn1,"['lifting', 'travel', 'ban', 'catastrophic', 'covid']"
78,"611 Covid-19 patients in hospital in S'pore: 49 need oxygen support, 12 in ICU  https://t.co/7iMJ5Rh9f8","['covid', 'hospital', 'pore', 'oxygen', 'support', 'need']"
79,"5,469 new Covid-19 cases reported in Singapore  https://t.co/VsZ480ZLzP  https://t.co/zLTPOAhRYI","['new', 'covid', 'report', 'case']"
80,"5,469 new Covid-19 cases reported in S'pore on Jan. 27, 3,571 are low-risk cases detected via ART:  https://t.co/Vi8m2dw0wJ  https://t.co/Gkv8TXvVLQ","['new', 'covid', 'report', 'pore', 'risk', 'detect', 'art', 'case']"
81,"5,469 new COVID-19 cases reported in Singapore  https://t.co/bWuuPIEoje  https://t.co/z35JIF6b1m","['new', 'covid', 'report', 'case']"
82,Sweden decides against recommending Covid-19 vaccines for kids aged 5 to 12  https://t.co/GUPXyqCHlM  https://t.co/I6n0sJOmD6,"['decide', 'against', 'covid', 'vaccine', 'kid']"
83,China's Walvax says has most participants for large mRNA COVID vaccine trial  https://t.co/K9uFHhl2nK  https://t.co/nDoU5CpyZV,"['participant', 'large', 'covid', 'vaccine', 'trial', 'says', 'mrna']"
84,Sweden decides against recommending COVID-19 vaccines for kids aged 5 to 12  https://t.co/hFAeEiGycu  https://t.co/WnPT6K2kir,"['decide', 'against', 'covid', 'vaccine', 'kid']"
85,"“We won’t stop Omicron, but we can try and slow it down.""   https://t.co/79rBM7lqwo","['slow down', 'stop', 'omicron', 'try']"
